Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,537.76,541.87,536.77,541.65,50190000,76.24
04/02/14,542.38,543.48,540.26,542.55,45105200,76.36
04/03/14,541.39,542.5,537.64,538.79,40586000,75.83
04/04/14,539.81,540,530.58,531.82,68812800,74.85
04/07/14,528.02,530.9,521.89,523.47,72462600,73.68
04/08/14,525.19,526.12,518.7,523.44,60972100,73.67
04/09/14,522.64,530.49,522.02,530.32,51542400,74.64
04/10/14,530.68,532.24,523.17,523.48,59913000,73.68
04/11/14,519,522.83,517.14,519.61,67929400,73.14
04/14/14,521.9,522.16,517.21,521.68,51418500,73.43
04/15/14,520.27,521.64,511.33,517.96,66622500,72.9
04/16/14,518.05,521.09,514.14,519.01,53691400,73.05
04/17/14,520,527.76,519.2,524.94,71083600,73.89
04/21/14,525.34,532.14,523.96,531.17,45637200,74.76
04/22/14,528.31,531.83,526.5,531.7,50640800,74.84
04/23/14,529.06,531.13,524.45,524.75,98735000,73.86
04/24/14,568.21,570,560.73,567.77,189977900,79.91
04/25/14,564.53,571.99,563.96,571.94,97568800,80.5
04/28/14,572.8,595.75,572.55,594.09,167371400,83.62
04/29/14,593.74,595.98,589.51,592.33,84344400,83.37
04/30/14,592.64,599.43,589.8,590.09,114160200,83.06
05/01/14,592,594.8,586.36,591.48,61012000,83.25
05/02/14,592.34,594.2,589.71,592.58,47878600,83.41
05/05/14,590.14,601,590,600.96,71766800,84.59
05/06/14,601.8,604.41,594.41,594.41,93641100,83.66
05/07/14,595.25,597.29,587.73,592.33,70716100,83.37
05/08/14,588.25,594.41,586.4,587.99,57574300,83.22
05/09/14,584.54,586.25,580.33,585.54,72899400,82.88
05/12/14,587.49,593.66,587.4,592.83,53302200,83.91
05/13/14,592,594.54,590.7,593.76,39934300,84.04
05/14/14,592.43,597.4,591.74,593.87,41601000,84.05
05/15/14,594.7,596.6,588.04,588.82,57711500,83.34
05/16/14,588.63,597.53,585.4,597.51,69064100,84.57
05/19/14,597.85,607.33,597.33,604.59,79438800,85.57
05/20/14,604.51,606.4,600.73,604.71,58709000,85.59
05/21/14,603.83,606.7,602.06,606.31,49214900,85.81
05/22/14,606.6,609.85,604.1,607.27,50190000,85.95
05/23/14,607.25,614.73,606.47,614.13,58052400,86.92
05/27/14,615.88,625.86,615.63,625.63,87216500,88.55
05/28/14,626.02,629.83,623.78,624.01,78870400,88.32
05/29/14,627.85,636.87,627.77,635.38,94118500,89.93
05/30/14,637.98,644.17,628.9,633,141005200,89.59
06/02/14,633.96,634.83,622.5,628.65,92337700,88.98
06/03/14,628.46,638.74,628.25,637.54,73177300,90.24
06/04/14,637.44,647.89,636.11,644.82,83870500,91.27
06/05/14,646.2,649.37,642.61,647.35,75951400,91.62
06/06/14,649.9,651.26,644.47,645.57,87484600,91.37
06/09/14,92.7,93.88,91.75,93.7,75415000,92.83
06/10/14,94.73,95.05,93.57,94.25,62777000,93.38
06/11/14,94.13,94.76,93.47,93.86,45681000,92.99
06/12/14,94.04,94.12,91.9,92.29,54749000,91.44
06/13/14,92.2,92.44,90.88,91.28,54525000,90.44
06/16/14,91.51,92.75,91.45,92.2,35561000,91.35
06/17/14,92.31,92.7,91.8,92.08,29726000,91.23
06/18/14,92.27,92.29,91.35,92.18,33514000,91.33
06/19/14,92.29,92.3,91.34,91.86,35528000,91.01
06/20/14,91.85,92.55,90.9,90.91,100898000,90.07
06/23/14,91.32,91.62,90.6,90.83,43694000,89.99
06/24/14,90.75,91.74,90.19,90.28,39036000,89.45
06/25/14,90.21,90.7,89.65,90.36,36869000,89.52
06/26/14,90.37,91.05,89.8,90.9,32629000,90.06
06/27/14,90.82,92,90.77,91.98,64029000,91.13
06/30/14,92.1,93.73,92.09,92.93,49589000,92.07
07/01/14,93.52,94.07,93.13,93.52,38223000,92.66
07/02/14,93.87,94.06,93.09,93.48,28465000,92.62
07/03/14,93.67,94.1,93.2,94.03,22891800,93.16
07/07/14,94.14,95.99,94.1,95.97,56468000,95.08
07/08/14,96.27,96.8,93.92,95.35,65222000,94.47
07/09/14,95.44,95.95,94.76,95.39,36436000,94.51
07/10/14,93.76,95.55,93.52,95.04,39686000,94.16
07/11/14,95.36,95.89,94.86,95.22,34018000,94.34
07/14/14,95.86,96.89,95.65,96.45,42810000,95.56
07/15/14,96.8,96.85,95.03,95.32,45477900,94.44
07/16/14,96.97,97.1,94.74,94.78,53502000,93.9
07/17/14,95.03,95.28,92.57,93.09,57298000,92.23
07/18/14,93.62,94.74,93.02,94.43,49988000,93.56
07/21/14,94.99,95,93.72,93.94,39079000,93.07
07/22/14,94.68,94.89,94.12,94.72,55197000,93.84
07/23/14,95.42,97.88,95.17,97.19,92918000,96.29
07/24/14,97.04,97.32,96.42,97.03,45729000,96.13
07/25/14,96.85,97.84,96.64,97.67,43469000,96.77
07/28/14,97.82,99.24,97.55,99.02,55318000,98.1
07/29/14,99.33,99.44,98.25,98.38,43143000,97.47
07/30/14,98.44,98.7,97.67,98.15,33010000,97.24
07/31/14,97.16,97.45,95.33,95.6,56843000,94.72
08/01/14,94.9,96.62,94.81,96.13,48511000,95.24
08/04/14,96.37,96.58,95.17,95.59,39958000,94.71
08/05/14,95.36,95.68,94.36,95.12,55933000,94.24
08/06/14,94.75,95.48,94.71,94.96,38558000,94.08
08/07/14,94.93,95.95,94.1,94.48,46711000,94.07
08/08/14,94.26,94.82,93.28,94.74,41865000,94.33
08/11/14,95.27,96.08,94.84,95.99,36585000,95.58
08/12/14,96.04,96.88,95.61,95.97,33795000,95.56
08/13/14,96.15,97.24,96.04,97.24,31916000,96.82
08/14/14,97.33,97.57,96.8,97.5,28116000,97.08
08/15/14,97.9,98.19,96.86,97.98,48951000,97.56
08/18/14,98.49,99.37,97.98,99.16,47572000,98.73
08/19/14,99.41,100.68,99.32,100.53,69399000,100.1
08/20/14,100.44,101.09,99.95,100.57,52699000,100.14
08/21/14,100.57,100.94,100.11,100.58,33478000,100.15
08/22/14,100.29,101.47,100.19,101.32,44184000,100.88
08/25/14,101.79,102.17,101.28,101.54,40270000,101.1
08/26/14,101.42,101.5,100.86,100.89,33152000,100.45
08/27/14,101.02,102.57,100.7,102.13,52369000,101.69
08/28/14,101.59,102.78,101.56,102.25,68460000,101.81
08/29/14,102.86,102.9,102.2,102.5,44595000,102.06
09/02/14,103.06,103.74,102.72,103.3,53564000,102.85
09/03/14,103.1,103.2,98.58,98.94,125421000,98.51
09/04/14,98.85,100.09,97.79,98.12,85718000,97.7
09/05/14,98.8,99.39,98.31,98.97,58457000,98.54
09/08/14,99.3,99.31,98.05,98.36,46356700,97.94
09/09/14,99.08,103.08,96.14,97.99,189846300,97.57
09/10/14,98.01,101.11,97.76,101,100869600,100.56
09/11/14,100.41,101.44,99.62,101.43,62353100,100.99
09/12/14,101.21,102.19,101.08,101.66,64096900,101.22
09/15/14,102.81,103.05,101.44,101.63,61316500,101.19
09/16/14,99.8,101.26,98.89,100.86,66908100,100.42
09/17/14,101.27,101.8,100.59,101.58,60926500,101.14
09/18/14,101.93,102.35,101.56,101.79,37299400,101.35
09/19/14,102.29,102.35,100.5,100.96,70902400,100.52
09/22/14,101.8,102.14,100.58,101.06,52788400,100.62
09/23/14,100.6,102.94,100.54,102.64,63402200,102.2
09/24/14,102.16,102.85,101.2,101.75,60171800,101.31
09/25/14,100.51,100.71,97.72,97.87,100092000,97.45
09/26/14,98.53,100.75,98.4,100.75,62370500,100.32
09/29/14,98.65,100.44,98.63,100.11,49766300,99.68
09/30/14,100.81,101.54,100.53,100.75,55264100,100.32
10/01/14,100.59,100.69,98.7,99.18,51491300,98.75
10/02/14,99.27,100.22,98.04,99.9,47757800,99.47
10/03/14,99.44,100.21,99.04,99.62,43469600,99.19
10/06/14,99.95,100.65,99.42,99.62,37051200,99.19
10/07/14,99.43,100.12,98.73,98.75,42094200,98.32
10/08/14,98.76,101.11,98.31,100.8,57404700,100.36
10/09/14,101.54,102.38,100.61,101.02,77376500,100.58
10/10/14,100.69,102.03,100.3,100.73,66331600,100.3
10/13/14,101.33,101.78,99.81,99.81,53583400,99.38
10/14/14,100.39,100.52,98.57,98.75,63688600,98.32
10/15/14,97.97,99.15,95.18,97.54,100933600,97.12
10/16/14,95.55,97.72,95.41,96.26,72154500,95.84
10/17/14,97.5,99,96.81,97.67,68179700,97.25
10/20/14,98.32,99.96,98.22,99.76,77517300,99.33
10/21/14,103.02,103.02,101.27,102.47,94623900,102.03
