Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,338.09,344.43,338,342.99,3600100,342.99
04/02/14,345.99,348.3,340.38,341.96,4475500,341.96
04/03/14,341.82,342.5,328.46,333.62,6399300,333.62
04/04/14,335.15,335.44,315.61,323,12534600,323
04/07/14,320.99,324.94,313.13,317.76,7077400,317.76
04/08/14,321.88,328,318.44,327.07,6577600,327.07
04/09/14,328.47,332.18,322.5,331.81,5056600,331.81
04/10/14,330.6,331,316.5,317.11,6126700,317.11
04/11/14,314,316.5,309.5,311.73,7287500,311.73
04/14/14,317.67,320.48,311.28,315.91,4293500,315.91
04/15/14,316.7,318.28,305.5,316.08,5398600,316.08
04/16/14,321.17,324,314.71,323.68,4284900,323.68
04/17/14,319.76,328.66,319.76,324.91,4299200,324.91
04/21/14,323.97,331.15,322.31,330.87,2999400,330.87
04/22/14,332,337.5,328.94,329.32,3711600,329.32
04/23/14,333.06,333.13,323.39,324.58,3604600,324.58
04/24/14,329.67,337.4,322.95,337.15,9293700,337.15
04/25/14,316.25,316.49,302.71,303.83,16180200,303.83
04/28/14,304,304.39,288,296.58,14479800,296.58
04/29/14,296.44,301.84,290.45,300.38,6509300,300.38
04/30/14,298.1,304.56,298.1,304.13,4088600,304.13
05/01/14,304.13,310.48,304,307.89,4328600,307.89
05/02/14,310.42,313.29,304.31,308.01,3995100,308.01
05/05/14,306.37,310.23,305,310.05,2519900,310.05
05/06/14,309.53,309.81,297.04,297.38,4682300,297.38
05/07/14,295.56,296.4,286.68,292.71,7015200,292.71
05/08/14,290.82,295.88,287.23,288.32,3848200,288.32
05/09/14,290.57,293.68,284.38,292.24,4063000,292.24
05/12/14,294.3,303.34,294.16,302.86,3729600,302.86
05/13/14,302.6,305.6,300.75,304.64,3509900,304.64
05/14/14,302.5,304.64,296.66,297.62,3323300,297.62
05/15/14,298.02,299.2,290.38,295.19,4295100,295.19
05/16/14,292.8,298.88,291.55,297.7,3636800,297.7
05/19/14,295.76,299,293.81,296.76,2284200,296.76
05/20/14,297.1,304.46,296.75,301.19,4095700,301.19
05/21/14,302.21,305.96,301.52,305.01,3408800,305.01
05/22/14,305.05,308.54,303.01,304.91,2576800,304.91
05/23/14,305.46,312.35,304.9,312.24,3052900,312.24
05/27/14,314.41,314.63,307.38,310.82,4862100,310.82
05/28/14,309.5,313.82,307.42,310.16,2726000,310.16
05/29/14,310.42,314.87,310.2,313.78,2365500,313.78
05/30/14,314.43,314.65,307.57,312.55,4260200,312.55
06/02/14,312.59,312.6,307,308.84,2203400,308.84
06/03/14,305.75,307.92,305.07,307.19,2379200,307.19
06/04/14,306.85,309.5,303.84,306.78,2107100,306.78
06/05/14,308.1,327.94,306.9,323.57,7796700,323.57
06/06/14,325,330.88,324.93,329.67,5244000,329.67
06/09/14,331.57,333,325.65,327.5,3212200,327.5
06/10/14,327.65,335.5,327.5,332.41,3663400,332.41
06/11/14,336,340.72,333.88,335.2,4436800,335.2
06/12/14,335.55,335.55,324.66,325.91,4276300,325.91
06/13/14,327.05,329.3,323.53,326.27,2764800,326.27
06/16/14,324.86,328.69,323.52,327.62,2449800,327.62
06/17/14,327.54,331.34,325.23,325.62,2924100,325.62
06/18/14,328,335.75,325,334.38,6401500,334.38
06/19/14,335.26,338.9,325.98,327,5320600,327
06/20/14,327.76,328.22,320.42,324.2,6054000,324.2
06/23/14,323.33,327.55,321.41,327.24,2604800,327.24
06/24/14,327.54,329.73,322.74,324.16,2626600,324.16
06/25/14,324.33,328.15,321.74,327.44,2327800,327.44
06/26/14,328.49,328.65,322.13,325.69,2699500,325.69
06/27/14,325.88,326.52,323.27,324.57,2416200,324.57
06/30/14,324.98,326.98,322.24,324.78,2671300,324.78
07/01/14,325.86,333.2,325.1,332.39,3173600,332.39
07/02/14,333.2,336.76,331.66,332.85,2681300,332.85
07/03/14,334.83,338.3,333.08,337.49,1944300,337.49
07/07/14,337.5,337.55,332.52,333.55,2128900,333.55
07/08/14,333.1,333.74,321.4,323.81,4271600,323.81
07/09/14,324.71,330.2,323.15,329.97,3166100,329.97
07/10/14,324.34,329.98,322.65,327.92,2665000,327.92
07/11/14,334.71,347,334.71,346.2,8300800,346.2
07/14/14,347.03,355.77,345.36,355.32,5609900,355.32
07/15/14,353.72,355.59,349.4,354.44,4170900,354.44
07/16/14,355.62,359.32,353,355.9,3503600,355.9
07/17/14,353.44,356.96,351.38,352.45,3636000,352.45
07/18/14,354.4,359.68,352.08,358.66,3407400,358.66
07/21/14,358.1,361.71,356.72,359.76,2278400,359.76
07/22/14,355.25,362.93,355.25,360.84,2888900,360.84
07/23/14,359.05,360.63,356.62,358.14,2687300,358.14
