Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,22.33,23.31,22.3,23.1,80106400,22.75
04/02/14,23.11,23.13,22.76,22.99,38363700,22.64
04/03/14,23.05,23.3,23,23.09,30311200,22.74
04/04/14,23.28,23.35,22.6,22.71,49355400,22.37
04/07/14,22.6,23.07,22.5,22.85,55317100,22.51
04/08/14,22.64,22.97,22.6,22.94,37373900,22.59
04/09/14,23,23.32,22.89,23.12,37888600,22.77
04/10/14,23.17,23.26,22.5,22.65,53927000,22.31
04/11/14,22.55,22.99,22.43,22.46,47253900,22.12
04/14/14,22.63,22.94,22.48,22.85,35804300,22.51
04/15/14,22.84,23,22.61,22.89,29845400,22.54
04/16/14,23.03,23.15,22.83,23.03,31451900,22.68
04/17/14,23.01,23.29,22.78,23.21,47813400,22.86
04/21/14,23.22,23.59,23.18,23.4,38795200,23.05
04/22/14,23.43,23.61,23.4,23.52,28725000,23.17
04/23/14,23.52,23.57,23.24,23.5,29972800,23.15
04/24/14,23.64,23.64,23.24,23.33,33976700,22.98
04/25/14,23.27,23.32,22.88,23,25087300,22.65
04/28/14,23.15,23.24,22.79,23.02,36817100,22.67
04/29/14,23.2,23.21,23.06,23.16,14582400,22.81
04/30/14,23.08,23.14,22.92,23.11,23948500,22.76
05/01/14,23.14,23.15,22.91,23.01,17463700,22.66
05/02/14,23.11,23.12,22.9,22.94,18757000,22.59
05/05/14,22.9,23,22.72,22.96,17859200,22.61
05/06/14,22.84,22.89,22.63,22.72,21815200,22.38
05/07/14,22.72,22.9,22.43,22.87,38895200,22.53
05/08/14,22.9,23.17,22.76,23.02,32181400,22.67
05/09/14,22.96,23.11,22.92,23.02,22593900,22.67
05/12/14,23.04,23.34,23,23.19,40216100,22.84
05/13/14,23.14,23.21,22.76,22.86,57933100,22.52
05/14/14,22.92,23.05,22.63,22.81,59330100,22.47
05/15/14,24.27,24.69,24.12,24.18,120944500,23.82
05/16/14,24.14,24.45,24.06,24.37,40477000,24
05/19/14,24.24,24.45,24.12,24.35,39388900,23.98
05/20/14,24.26,24.39,24.02,24.12,56321600,23.76
05/21/14,24.22,24.65,24.17,24.48,65262600,24.11
05/22/14,24.42,24.54,24.29,24.38,26751000,24.01
05/23/14,24.38,24.57,24.35,24.52,27778000,24.15
05/27/14,24.74,24.88,24.63,24.71,32365700,24.34
05/28/14,24.63,24.93,24.63,24.82,28650600,24.45
05/29/14,24.85,24.92,24.56,24.68,21642000,24.31
05/30/14,24.71,24.75,24.48,24.62,29381600,24.25
06/02/14,24.64,24.8,24.56,24.78,20393300,24.41
06/03/14,24.75,24.82,24.45,24.68,23339100,24.31
06/04/14,24.61,24.65,24.4,24.5,20635100,24.13
06/05/14,24.62,24.74,24.41,24.7,23320300,24.33
06/06/14,24.73,24.95,24.71,24.83,22485100,24.46
06/09/14,24.79,24.95,24.72,24.8,18818400,24.43
06/10/14,24.73,25.1,24.6,25,36582000,24.62
06/11/14,24.85,25.17,24.79,25.04,36170300,24.66
06/12/14,24.95,25.01,24.62,24.66,26900400,24.29
06/13/14,24.67,24.78,24.6,24.7,20947600,24.33
06/16/14,24.52,24.73,24.45,24.53,19251300,24.16
06/17/14,24.49,24.62,24.41,24.5,17972800,24.13
06/18/14,24.7,24.75,24.46,24.63,24723700,24.26
06/19/14,24.62,24.71,24.45,24.71,20646800,24.34
06/20/14,24.63,24.9,24.61,24.83,39707300,24.46
06/23/14,24.81,24.9,24.65,24.7,18751100,24.33
06/24/14,24.62,24.74,24.52,24.53,24302000,24.16
06/25/14,24.55,24.78,24.41,24.72,22579500,24.35
06/26/14,24.66,24.81,24.48,24.65,19134400,24.28
06/27/14,24.6,24.78,24.48,24.7,34999300,24.33
06/30/14,24.67,24.9,24.62,24.85,23992100,24.48
07/01/14,24.99,25.11,24.77,25.08,34613200,24.7
07/02/14,24.97,25.14,24.87,25.03,30197200,24.84
07/03/14,25.15,25.25,25.13,25.19,19598800,25
07/07/14,25,25.25,24.97,25.23,21293500,25.04
07/08/14,25.21,25.31,25.06,25.07,34622900,24.88
07/09/14,25.22,25.5,25.14,25.44,35610300,25.25
07/10/14,25.25,25.52,25.22,25.44,27278600,25.25
07/11/14,25.52,25.65,25.44,25.52,20945900,25.33
07/14/14,25.61,25.65,25.4,25.44,19243600,25.25
07/15/14,25.38,25.68,25.36,25.67,29468800,25.48
07/16/14,25.73,26.05,25.73,25.98,40476700,25.78
07/17/14,25.84,26,25.58,25.63,29568000,25.44
07/18/14,25.7,25.96,25.67,25.91,25465300,25.71
07/21/14,25.89,25.95,25.72,25.85,20825400,25.65
07/22/14,25.95,26.08,25.91,25.95,28734800,25.75
07/23/14,25.72,25.79,25.55,25.68,28759200,25.49
07/24/14,25.78,25.9,25.68,25.83,21876300,25.63
07/25/14,25.8,26.02,25.68,25.97,28640100,25.77
07/28/14,25.73,26,25.57,25.92,27686400,25.72
07/29/14,25.88,26.01,25.69,25.71,22441500,25.52
07/30/14,25.83,25.84,25.47,25.63,26119900,25.44
07/31/14,25.48,25.5,25.17,25.23,28219900,25.04
08/01/14,25.14,25.21,24.8,25,28609200,24.81
08/04/14,24.94,25.22,24.86,25.17,17252200,24.98
08/05/14,25.02,25.12,24.87,24.97,21176500,24.78
08/06/14,24.93,25.21,24.85,24.93,20990600,24.74
08/07/14,25.01,25.11,24.69,24.86,24123500,24.67
08/08/14,24.87,25.06,24.74,25.03,21648600,24.84
08/11/14,25.09,25.37,25.01,25.23,25946200,25.04
08/12/14,25.21,25.27,25,25.15,21928200,24.96
08/13/14,25.17,25.27,24.93,25.2,43708600,25.01
08/14/14,24.94,24.94,24.32,24.54,63790200,24.35
08/15/14,24.66,24.66,24.27,24.43,33624000,24.25
08/18/14,24.49,24.66,24.43,24.63,27666900,24.44
08/19/14,24.63,24.69,24.6,24.64,20347000,24.45
08/20/14,24.55,24.75,24.52,24.71,20228900,24.52
08/21/14,24.75,24.91,24.72,24.89,20880800,24.7
08/22/14,24.87,24.97,24.64,24.65,22453700,24.46
