Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,558.71,568.45,558.71,567.16,7900,567.16
04/02/14,599.99,604.83,562.19,567,146700,567
04/03/14,569.85,587.28,564.13,569.74,5085200,569.74
04/04/14,574.65,577.77,543,543.14,6351900,543.14
04/07/14,540.74,548.48,527.15,538.15,4389600,538.15
04/08/14,542.6,555,541.61,554.9,3142600,554.9
04/09/14,559.62,565.37,552.95,564.14,3321700,564.14
04/10/14,565,565,539.9,540.95,4025800,540.95
04/11/14,532.55,540,526.53,530.6,3914100,530.6
04/14/14,538.25,544.1,529.56,532.52,2568000,532.52
04/15/14,536.82,538.45,518.46,536.44,3844500,536.44
04/16/14,543,557,540,556.54,4879900,556.54
04/17/14,548.81,549.5,531.15,536.1,6790900,536.1
04/21/14,536.1,536.7,525.6,528.62,2559700,528.62
04/22/14,528.64,537.23,527.51,534.81,2358900,534.81
04/23/14,533.79,533.87,526.25,526.94,2046700,526.94
04/24/14,530.07,531.65,522.12,525.16,1878000,525.16
04/25/14,522.51,524.7,515.42,516.18,2094600,516.18
04/28/14,517.18,518.6,502.8,517.15,3326400,517.15
04/29/14,516.9,529.46,516.32,527.7,2691700,527.7
04/30/14,527.6,528,522.52,526.66,1746400,526.66
05/01/14,527.11,532.93,523.88,531.35,1900300,531.35
05/02/14,533.76,534,525.61,527.93,1683900,527.93
05/05/14,524.82,528.9,521.32,527.81,1021300,527.81
05/06/14,525.23,526.81,515.06,515.14,1684400,515.14
05/07/14,515.79,516.68,503.3,509.96,3215500,509.96
05/08/14,508.46,517.23,506.45,511,2015800,511
05/09/14,510.75,519.9,504.2,518.73,2432800,518.73
05/12/14,523.51,530.19,519.01,529.92,1907300,529.92
05/13/14,530.89,536.07,529.51,533.09,1648900,533.09
05/14/14,533,533,525.29,526.65,1188500,526.65
05/15/14,525.7,525.87,517.42,519.98,1699700,519.98
05/16/14,521.39,521.8,515.44,520.63,1481200,520.63
05/19/14,519.7,529.78,517.58,528.86,1274300,528.86
05/20/14,529.74,536.23,526.3,529.77,1779900,529.77
05/21/14,532.9,539.18,531.91,538.94,1193000,538.94
05/22/14,541.13,547.6,540.78,545.06,1611400,545.06
05/23/14,547.26,553.64,543.7,552.7,1926900,552.7
05/27/14,556,566,554.35,565.95,2098400,565.95
05/28/14,564.57,567.84,561,561.68,1647500,561.68
05/29/14,563.35,564,558.71,560.08,1350400,560.08
05/30/14,560.8,561.35,555.91,559.89,1766300,559.89
06/02/14,560.7,560.9,545.73,553.93,1431100,553.93
06/03/14,550.99,552.34,542.55,544.94,1861500,544.94
06/04/14,541.5,548.61,538.75,544.66,1811500,544.66
06/05/14,546.4,554.95,544.45,553.9,1684500,553.9
06/06/14,558.06,558.06,548.93,556.33,1732000,556.33
06/09/14,557.15,562.9,556.04,562.12,1463500,562.12
06/10/14,560.51,563.6,557.9,560.55,1348000,560.55
06/11/14,558,559.88,555.02,558.84,1097100,558.84
06/12/14,557.3,557.99,548.46,551.35,1454500,551.35
06/13/14,552.26,552.3,545.56,551.76,1217200,551.76
06/16/14,549.26,549.62,541.52,544.28,1697900,544.28
06/17/14,544.2,545.32,539.33,543.01,1440600,543.01
06/18/14,544.86,553.56,544,553.37,1737000,553.37
06/19/14,554.24,555,548.51,554.9,2450100,554.9
06/20/14,556.85,557.58,550.39,556.36,4496000,556.36
06/23/14,555.15,565,554.25,564.95,1532600,564.95
06/24/14,565.19,572.65,561.01,564.62,2201100,564.62
06/25/14,565.26,579.96,565.22,578.65,1964000,578.65
06/26/14,581,582.45,571.85,576,1737200,576
06/27/14,577.18,579.87,573.8,577.24,2230800,577.24
06/30/14,578.66,579.57,574.75,575.28,1310200,575.28
07/01/14,578.32,584.4,576.65,582.67,1444000,582.67
07/02/14,583.35,585.44,580.39,582.34,1053500,582.34
07/03/14,583.35,585.01,580.92,584.73,712200,584.73
07/07/14,583.76,586.43,579.59,582.25,1061700,582.25
07/08/14,577.66,579.53,566.14,571.09,1904300,571.09
07/09/14,571.58,576.72,569.38,576.08,1113700,576.08
07/10/14,565.91,576.59,565.01,571.1,1353000,571.1
07/11/14,571.91,580.85,571.42,579.18,1617300,579.18
07/14/14,582.6,585.21,578.03,584.87,1849000,584.87
07/15/14,585.74,585.8,576.56,584.78,1618600,584.78
07/16/14,588,588.4,582.2,582.66,1393300,582.66
07/17/14,579.53,580.99,568.61,573.73,3008300,573.73
07/18/14,593,596.8,582,595.08,4003200,595.08
07/21/14,591.75,594.4,585.23,589.47,2056500,589.47
07/22/14,590.72,599.65,590.6,594.74,1694500,594.74
07/23/14,593.23,597.85,592.5,595.98,1229800,595.98
07/24/14,596.45,599.5,591.77,593.35,1032300,593.35
07/25/14,590.4,591.86,587.03,589.02,929900,589.02
07/28/14,588.07,592.5,584.75,590.6,984100,590.6
07/29/14,588.75,589.7,583.52,585.61,1346200,585.61
07/30/14,586.55,589.5,584,587.42,1013700,587.42
07/31/14,580.6,583.65,570,571.6,2097000,571.6
08/01/14,570.4,575.96,562.85,566.07,1949900,566.07
08/04/14,569.04,575.35,564.1,573.15,1423400,573.15
08/05/14,570.05,571.98,562.61,565.07,1547000,565.07
08/06/14,561.78,570.7,560,566.37,1330700,566.37
08/07/14,568,569.89,561.1,563.36,1107900,563.36
08/08/14,563.56,570.25,560.35,568.77,1490700,568.77
08/11/14,569.99,570.49,566,567.88,1211400,567.88
08/12/14,564.52,565.9,560.88,562.73,1537800,562.73
08/13/14,567.31,575,565.75,574.78,1437900,574.78
08/14/14,576.18,577.9,570.88,574.65,982800,574.65
08/15/14,577.86,579.38,570.52,573.48,1515000,573.48
08/18/14,576.11,584.51,576,582.16,1280600,582.16
08/19/14,585,587.34,584,586.86,976000,586.86
08/20/14,585.88,586.7,582.57,584.49,1033900,584.49
08/21/14,583.82,584.5,581.14,583.37,912300,583.37
08/22/14,583.59,585.24,580.64,582.56,786900,582.56
08/25/14,584.72,585,579,580.2,1357700,580.2
