Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,193.12,195.13,192.78,194.5,5394100,190.93
04/02/14,194.24,194.5,192.49,193.55,4924100,190
04/03/14,193.2,193.38,192.35,192.69,4091100,189.15
04/04/14,193.12,193.97,191.28,191.77,6089900,188.25
04/07/14,191.72,195.31,191.57,194.52,6740500,190.95
04/08/14,193.89,194.17,192.69,193.29,5125000,189.74
04/09/14,193.88,197,193.6,196.64,5480100,193.03
04/10/14,196.06,199.21,195.66,195.68,8417900,192.09
04/11/14,195.04,197,194.27,195.19,4835000,191.61
04/14/14,196.24,198.24,195.88,197.77,5431100,194.14
04/15/14,195.98,197.41,195.42,197.02,5351300,193.4
04/16/14,198.05,198.71,195,196.4,8527300,192.8
04/17/14,187.25,190.7,187.01,190.01,11255500,186.52
04/21/14,189.8,192.81,189.74,192.27,5419700,188.74
04/22/14,192.01,193,191.2,192.15,3878600,188.62
04/23/14,191.79,192.41,190.11,191.73,4736400,188.21
04/24/14,192.22,192.22,190.03,190.22,4407100,186.73
04/25/14,190.54,190.67,189.11,189.63,3871000,186.15
04/28/14,191.14,193.99,190.58,193.14,5638300,189.6
04/29/14,193.59,195.94,193.41,195.11,4626300,191.53
04/30/14,194.38,196.86,194.35,196.47,4206800,192.86
05/01/14,196.31,196.74,193.15,193.53,3674000,189.98
05/02/14,193.75,193.84,191.25,191.44,3049900,187.93
05/05/14,191.05,191.49,189.8,191.26,2222100,187.75
05/06/14,190.93,190.95,189.25,190.03,3188700,186.54
05/07/14,189.34,190.3,186.93,189.3,3821000,186.91
05/08/14,189.16,190.57,188.23,188.91,2431900,186.52
05/09/14,188.98,190.59,188.37,190.08,2261600,187.68
05/12/14,191.12,193.02,190.94,192.57,3777400,190.14
05/13/14,192.79,193.03,191.76,192.19,2226600,189.76
05/14/14,191.91,191.99,188.17,188.72,5251500,186.34
05/15/14,189.07,189.08,186.18,186.46,4202200,184.1
05/16/14,186.27,187.41,185.93,187.06,3949500,184.7
05/19/14,186.61,187.13,186.04,187,3270700,184.64
05/20/14,186.25,186.7,184.7,184.89,3026500,182.55
05/21/14,185.85,187.16,184.95,186.39,2988000,184.03
05/22/14,186.45,186.45,185.03,185.68,2218000,183.33
05/23/14,185.84,186.14,185.31,185.94,2562900,183.59
