Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,25.8,26,25.64,25.99,23778700,25.43
04/02/14,25.96,26.05,25.64,25.89,22464700,25.33
04/03/14,26.15,26.46,26.14,26.41,38581300,25.84
04/04/14,26.49,26.73,26.11,26.16,47918000,25.6
04/07/14,26.3,26.74,26.2,26.49,49813500,25.92
04/08/14,26.36,26.98,26.35,26.91,56699500,26.33
04/09/14,26.93,27.02,26.73,26.98,34481800,26.4
04/10/14,27.01,27.09,26.36,26.43,40478200,25.86
04/11/14,26.27,26.59,26.17,26.18,36121100,25.62
04/14/14,26.31,26.65,26.14,26.56,26957900,25.99
04/15/14,26.51,26.83,26.36,26.77,45074400,26.19
04/16/14,26.98,27.24,26.6,26.93,59033600,26.35
04/17/14,26.88,27.16,26.79,27.04,38112600,26.46
04/21/14,27.05,27.05,26.73,26.95,20398600,26.37
04/22/14,26.91,26.98,26.66,26.84,29601600,26.26
04/23/14,26.8,26.97,26.72,26.75,25574300,26.18
04/24/14,26.81,26.96,26.64,26.75,25432800,26.18
04/25/14,26.65,26.72,26.19,26.26,33614400,25.7
04/28/14,26.17,26.39,26.01,26.33,33472800,25.76
04/29/14,26.36,26.66,26.35,26.48,22146000,25.91
04/30/14,26.32,26.7,26.22,26.69,25863900,26.12
05/01/14,26.51,26.67,26.39,26.45,19755200,25.88
05/02/14,26.56,26.64,26.4,26.41,24235200,25.84
05/05/14,26.16,26.26,25.99,26.17,20738900,25.83
05/06/14,26.16,26.38,26,26.2,21818000,25.86
05/07/14,26.26,26.45,26.22,26.37,24692800,26.03
05/08/14,26.32,26.53,26.22,26.34,24166900,26
05/09/14,26.37,26.41,26.22,26.3,20324400,25.96
05/12/14,26.41,26.54,26.3,26.37,20607800,26.03
05/13/14,26.49,26.54,26.33,26.45,20525000,26.1
05/14/14,26.49,26.52,26.33,26.33,17811900,25.99
05/15/14,26.33,26.5,26.01,26.01,31752700,25.67
05/16/14,26.05,26.07,25.74,25.82,30017200,25.48
05/19/14,25.75,26.09,25.75,26.04,22679600,25.7
05/20/14,26.02,26.17,25.88,26.04,22292600,25.7
05/21/14,26.1,26.25,26,26.2,18721300,25.86
05/22/14,26.21,26.27,26.08,26.15,15926500,25.81
05/23/14,26.15,26.3,26.14,26.29,17172200,25.95
05/27/14,26.33,26.74,26.18,26.71,27271900,26.36
05/28/14,26.7,26.94,26.66,26.88,27150100,26.53
05/29/14,26.91,26.96,26.72,26.96,20638900,26.61
05/30/14,26.94,27.32,26.93,27.32,43641000,26.96
06/02/14,27.31,27.35,27.12,27.26,20264900,26.9
06/03/14,27.22,27.7,27.12,27.66,33256300,27.3
06/04/14,27.51,27.76,27.5,27.6,21612500,27.24
06/05/14,27.56,27.66,27.43,27.66,26546200,27.3
06/06/14,27.78,28.21,27.73,28.17,34795600,27.8
06/09/14,28.1,28.42,27.83,27.91,39933000,27.54
06/10/14,27.85,28.33,27.72,28.24,34256900,27.87
06/11/14,28.14,28.21,27.8,27.93,27747700,27.56
