Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,41.15,41.59,41.07,41.42,32605000,40.62
04/02/14,41.44,41.66,41.17,41.35,28666700,40.55
04/03/14,41.29,41.29,40.71,41.01,30139600,40.22
04/04/14,41.25,41.39,39.64,39.87,51409600,39.1
04/07/14,39.96,40.27,39.74,39.8,37559600,39.03
04/08/14,39.75,39.93,39.2,39.82,35918600,39.05
04/09/14,39.93,40.55,39.88,40.47,27398700,39.69
04/10/14,40.44,40.69,39.09,39.36,45960800,38.6
04/11/14,39,39.79,39,39.21,34330200,38.45
04/14/14,39.11,39.41,38.9,39.18,32006600,38.42
04/15/14,39.34,39.96,39.05,39.75,33968700,38.98
04/16/14,40.06,40.42,39.91,40.4,30615800,39.62
04/17/14,40.01,40.2,39.51,40.01,36689400,39.24
04/21/14,40.13,40.15,39.79,39.94,22221200,39.17
04/22/14,39.96,40.14,39.83,39.99,27056700,39.22
04/23/14,39.99,39.99,39.47,39.69,24602800,38.92
04/24/14,39.74,39.97,39.3,39.86,42381600,39.09
04/25/14,40.29,40.68,39.75,39.91,56876800,39.14
04/28/14,40.14,41.29,40.09,40.87,50610200,40.08
04/29/14,41.1,41.19,40.39,40.51,29636200,39.73
04/30/14,40.4,40.5,40.17,40.4,35458700,39.62
05/01/14,40.24,40.36,39.95,40,28787400,39.23
05/02/14,40.31,40.34,39.66,39.69,43416600,38.92
05/05/14,39.52,39.64,39.3,39.43,22460900,38.67
05/06/14,39.29,39.35,38.95,39.06,27112400,38.3
05/07/14,39.22,39.51,38.51,39.42,41744500,38.66
05/08/14,39.34,39.9,38.97,39.64,32120400,38.87
05/09/14,39.54,39.85,39.37,39.54,29647600,38.77
05/12/14,39.74,40.02,39.65,39.97,22782600,39.2
05/13/14,39.92,40.5,39.85,40.42,27004800,39.92
05/14/14,40.3,40.45,40.05,40.24,18818700,39.74
05/15/14,40.09,40.4,39.51,39.6,37793200,39.11
05/16/14,39.67,39.84,39.27,39.83,29867100,39.33
05/19/14,39.61,39.82,39.46,39.75,24537400,39.26
05/20/14,39.68,39.94,39.46,39.68,21320900,39.19
05/21/14,39.8,40.35,39.74,40.35,22398700,39.85
05/22/14,40.29,40.35,39.85,40.1,20201800,39.6
05/23/14,40.37,40.37,40,40.12,18020000,39.62
05/27/14,40.26,40.26,39.81,40.19,26160600,39.69
05/28/14,40.14,40.19,39.82,40.01,25711500,39.51
05/29/14,40.15,40.35,39.91,40.34,19888200,39.84
05/30/14,40.45,40.97,40.25,40.94,34567600,40.43
06/02/14,40.95,41.09,40.68,40.79,18504300,40.28
06/03/14,40.6,40.68,40.25,40.29,18068900,39.79
06/04/14,40.21,40.37,39.86,40.32,23209000,39.82
06/05/14,40.59,41.25,40.4,41.21,31865200,40.7
06/06/14,41.48,41.66,41.24,41.48,24060500,40.96
06/09/14,41.39,41.48,41.02,41.27,15019200,40.76
06/10/14,41.03,41.16,40.86,41.11,15117700,40.6
06/11/14,40.93,41.07,40.77,40.86,18040000,40.35
06/12/14,40.81,40.88,40.29,40.58,29818900,40.08
06/13/14,41.1,41.57,40.86,41.23,26310000,40.72
06/16/14,41.04,41.61,41.04,41.5,24205300,40.98
06/17/14,41.29,41.91,40.34,41.68,22518600,41.16
06/18/14,41.61,41.74,41.18,41.65,27097000,41.13
06/19/14,41.57,41.77,41.33,41.51,19828200,40.99
06/20/14,41.45,41.83,41.38,41.68,47764900,41.16
06/23/14,41.73,42,41.69,41.99,18743900,41.47
06/24/14,41.83,41.94,41.56,41.75,26509100,41.23
06/25/14,41.7,42.05,41.46,42.03,20049100,41.51
06/26/14,41.93,41.94,41.43,41.72,23604400,41.2
06/27/14,41.61,42.29,41.51,42.25,74640000,41.72
06/30/14,42.17,42.21,41.7,41.7,30805500,41.18
07/01/14,41.86,42.15,41.69,41.87,26917000,41.35
07/02/14,41.73,41.9,41.53,41.9,20208100,41.38
07/03/14,41.91,41.99,41.56,41.8,15969300,41.28
07/07/14,41.75,42.12,41.71,41.99,21952400,41.47
07/08/14,41.87,42,41.61,41.78,31218200,41.26
07/09/14,41.98,41.99,41.53,41.67,18445900,41.15
07/10/14,41.37,42,41.05,41.69,21854700,41.17
07/11/14,41.7,42.09,41.48,42.09,24083000,41.57
07/14/14,42.22,42.45,42.04,42.14,21881100,41.62
07/15/14,42.33,42.47,42.03,42.45,28748700,41.92
07/16/14,42.51,44.31,42.48,44.08,63318000,43.53
07/17/14,45.45,45.71,44.25,44.53,82180300,43.98
07/18/14,44.65,44.84,44.25,44.69,43407500,44.13
07/21/14,44.56,45.16,44.22,44.84,37604400,44.28
07/22/14,45,45.15,44.59,44.83,43095800,44.27
07/23/14,45.45,45.45,44.62,44.87,52362900,44.31
07/24/14,44.93,45,44.32,44.4,30725300,43.85
07/25/14,44.3,44.66,44.3,44.5,26737700,43.95
07/28/14,44.36,44.51,43.93,43.97,29684200,43.42
07/29/14,43.91,44.09,43.64,43.89,27763100,43.34
07/30/14,44.07,44.1,43.29,43.58,31921400,43.04
07/31/14,43.38,43.69,43.08,43.16,31537500,42.62
08/01/14,43.21,43.25,42.6,42.86,31170300,42.33
08/04/14,42.97,43.47,42.81,43.37,34277400,42.83
08/05/14,43.31,43.46,42.83,43.08,26266400,42.54
08/06/14,42.74,43.17,42.21,42.74,24634000,42.21
08/07/14,42.84,43.45,42.65,43.23,30314900,42.69
08/08/14,43.23,43.32,42.91,43.2,28942700,42.66
08/11/14,43.26,43.45,43.02,43.2,20351600,42.66
08/12/14,43.04,43.59,43,43.52,21431100,42.98
08/13/14,43.68,44.18,43.52,44.08,22889500,43.53
08/14/14,44.08,44.42,44.01,44.27,19313200,43.72
08/15/14,44.58,44.9,44.4,44.79,41611300,44.23
08/18/14,44.94,45.11,44.68,45.11,26891100,44.55
08/19/14,44.97,45.34,44.83,45.33,28139500,45.05
08/20/14,45.34,45.4,44.9,44.95,24770500,44.67
08/21/14,44.84,45.25,44.83,45.22,22285500,44.94
08/22/14,45.35,45.47,45.07,45.15,18294500,44.87
08/25/14,45.4,45.44,45.04,45.17,16910000,44.89
08/26/14,45.31,45.4,44.94,45.01,14873100,44.73
08/27/14,44.9,45,44.76,44.87,21287900,44.59
08/28/14,44.75,44.98,44.61,44.88,17657600,44.6
08/29/14,45.09,45.44,44.86,45.43,21607600,45.15
09/02/14,45.43,45.46,44.85,45.09,22976800,44.81
09/03/14,44.53,45.11,44.53,44.96,33684500,44.68
