Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,18.48,18.87,18.26,18.65,16406800,18.4
04/02/14,18.65,18.69,18.45,18.53,5998700,18.29
04/03/14,18.57,19.18,18.56,18.73,14988700,18.48
04/04/14,18.83,18.94,18.07,18.15,9200800,17.91
04/07/14,18.16,18.56,18.06,18.21,10714400,17.97
04/08/14,18.21,18.91,18.18,18.86,11767300,18.61
04/09/14,18.95,19.11,18.69,18.84,10549200,18.59
04/10/14,18.76,19.02,18.32,18.38,9318700,18.14
04/11/14,18.24,18.52,17.88,18.12,8827800,17.88
04/14/14,18.24,18.39,18.12,18.32,7254600,18.08
04/15/14,18.34,18.55,18.16,18.45,7615900,18.21
04/16/14,18.54,18.56,18.26,18.49,5878400,18.25
04/17/14,18.42,18.73,18.38,18.56,3838300,18.32
04/21/14,18.57,18.76,18.45,18.71,2925100,18.46
04/22/14,18.74,18.99,18.64,18.87,6378000,18.62
04/23/14,18.9,19.14,18.87,19.09,6539500,18.84
04/24/14,19.22,19.46,19.22,19.26,9787300,19.01
04/25/14,19.22,19.4,18.69,18.73,7840000,18.48
04/28/14,18.88,18.98,18.42,18.65,5669700,18.4
04/29/14,18.72,18.76,18.48,18.69,4282500,18.44
04/30/14,18.66,18.68,18.43,18.47,7643500,18.23
05/01/14,18.75,18.79,18.42,18.57,4952600,18.33
05/02/14,18.66,18.66,18.32,18.43,3909400,18.19
05/05/14,18.41,18.77,18.39,18.63,5981500,18.39
05/06/14,18.81,18.97,18.2,18.25,10404700,18.01
05/07/14,18.25,18.42,18.07,18.27,7347500,18.03
05/08/14,18.2,18.79,18.11,18.5,10818200,18.26
05/09/14,17.94,18.11,17.71,18.05,13488300,17.81
05/12/14,18.09,18.62,18.08,18.58,7496400,18.34
05/13/14,18.33,18.63,18.22,18.28,5527600,18.04
05/14/14,18.29,18.36,18.09,18.1,5358000,17.86
05/15/14,18.06,18.16,17.82,18,8147400,17.76
05/16/14,17.86,18.09,17.86,17.96,7099000,17.72
05/19/14,18.15,18.64,18.07,18.54,9001900,18.3
05/20/14,18.46,18.51,18.15,18.24,6405000,18.08
05/21/14,18.31,18.47,18.13,18.24,5417800,18.08
05/22/14,18.2,18.42,18.2,18.32,3259100,18.16
05/23/14,18.42,18.58,18.31,18.49,4566400,18.33
05/27/14,18.6,18.82,18.54,18.82,5242000,18.66
05/28/14,18.89,19.1,18.71,18.98,5616900,18.82
05/29/14,18.97,19.13,18.91,18.95,4297100,18.79
05/30/14,18.95,19.05,18.85,19,5978200,18.84
06/02/14,19.06,19.18,18.78,18.94,4537500,18.78
06/03/14,18.98,19,18.61,18.86,6080300,18.7
06/04/14,18.81,19.02,18.8,18.88,4030900,18.72
06/05/14,18.91,19.02,18.8,18.96,4717400,18.8
06/06/14,19.05,19.2,18.98,19.03,4026300,18.87
06/09/14,19.01,19.23,18.88,19.05,6186400,18.89
06/10/14,18.98,19.24,18.9,19.15,5440200,18.99
06/11/14,19.08,19.45,19.08,19.4,6655700,19.23
06/12/14,19.4,19.61,19.23,19.52,8428700,19.35
06/13/14,19.72,19.73,19.35,19.54,5696300,19.37
06/16/14,19.45,19.61,19.31,19.48,4965500,19.31
06/17/14,19.5,19.69,19.4,19.61,3940200,19.44
06/18/14,19.56,19.68,19.38,19.59,5388400,19.42
06/19/14,19.23,19.33,19,19.14,11864800,18.98
06/20/14,19.19,19.26,18.78,18.93,8828700,18.77
06/23/14,18.68,18.72,18.46,18.71,10355000,18.55
06/24/14,18.68,18.83,18.34,18.42,6894500,18.26
06/25/14,18.47,18.62,18.3,18.61,5385500,18.45
06/26/14,18.61,18.62,18.3,18.36,6422700,18.2
06/27/14,18.34,18.49,18.23,18.38,7570500,18.22
06/30/14,18.31,18.59,18.31,18.54,4512800,18.38
07/01/14,18.52,18.86,18.46,18.75,8029500,18.59
07/02/14,18.68,18.76,18.57,18.68,4482100,18.52
07/03/14,18.51,18.9,18.51,18.85,3422300,18.69
07/07/14,18.88,18.89,18.67,18.7,3187400,18.54
07/08/14,18.65,18.73,18.37,18.55,5548500,18.39
07/09/14,18.71,19.19,18.57,19.11,9691700,18.95
07/10/14,18.75,19.09,18.6,19.01,6657700,18.85
07/11/14,19.03,19.11,18.96,19.05,4779700,18.89
07/14/14,19.13,19.34,19.06,19.29,6815900,19.12
07/15/14,19.32,19.42,19.19,19.37,9886000,19.2
07/16/14,19.45,19.6,19.24,19.35,7993200,19.18
07/17/14,19.13,19.5,19.13,19.3,8120800,19.13
07/18/14,18.9,19.05,18.41,18.44,14195400,18.28
07/21/14,18.37,18.68,18.37,18.55,6084100,18.39
07/22/14,18.69,18.79,18.43,18.47,7470400,18.31
07/23/14,18.48,18.49,18.06,18.08,7433800,17.92
07/24/14,18.18,18.23,17.98,18.11,6364400,17.95
07/25/14,18.05,18.09,17.76,17.79,6653300,17.64
07/28/14,17.87,17.87,17.42,17.72,8258800,17.57
07/29/14,17.73,18.02,17.72,17.78,5449300,17.63
07/30/14,17.89,18.13,17.84,18.08,6154600,17.92
07/31/14,17.86,18,17.47,17.5,10047000,17.35
08/01/14,17.5,17.79,17.44,17.69,5497100,17.54
08/04/14,17.67,17.82,17.56,17.65,6043100,17.5
08/05/14,17.6,17.92,17.45,17.66,7453400,17.51
08/06/14,17.54,17.86,17.41,17.64,5586400,17.49
08/07/14,17.79,17.95,17.34,17.46,10192400,17.31
08/08/14,18.22,19.1,18.22,19,22358700,18.84
08/11/14,19.02,19.1,18.85,18.9,8615600,18.74
08/12/14,18.89,19,18.69,18.9,7403800,18.74
08/13/14,18.93,19.17,18.81,19.01,6414900,18.85
08/14/14,19.08,19.08,18.72,18.8,6399800,18.64
08/15/14,18.86,19.15,18.68,19.04,9244900,18.88
08/18/14,19.12,19.32,18.93,19.3,7101900,19.13
08/19/14,19.22,19.47,19.15,19.37,6206500,19.29
08/20/14,19.3,19.39,19.2,19.25,5536700,19.17
08/21/14,19.2,19.3,19.04,19.07,6819900,18.99
08/22/14,19.05,19.24,18.93,19.08,6280600,19
08/25/14,19.16,19.29,19.07,19.11,3834500,19.03
08/26/14,19.16,19.49,19.09,19.45,6740900,19.37
08/27/14,19.33,19.48,19.2,19.23,4574300,19.15
08/28/14,19.19,19.43,19.13,19.39,4492600,19.31
08/29/14,19.46,19.49,19.25,19.45,5198300,19.37
09/02/14,19.5,19.5,19.32,19.5,4815900,19.42
