Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,41.04,42,40.96,41.49,35431800,41.12
04/02/14,41.37,41.62,40.85,41.13,22754900,40.76
04/03/14,41.04,41.14,40.34,40.37,22497000,40.01
04/04/14,40.6,40.73,39.66,39.98,23836200,39.74
04/07/14,39.8,39.92,39.04,39.47,27311900,39.23
04/08/14,39.44,40.35,39.36,40.24,22197600,40
04/09/14,40.47,40.92,40.18,40.88,20314000,40.64
04/10/14,40.89,41.05,39.48,39.79,26397800,39.55
04/11/14,39.51,39.88,38.97,38.98,18655800,38.75
04/14/14,39.08,39.75,39.08,39.57,16022000,39.33
04/15/14,39.7,39.98,39.24,39.73,14553400,39.49
04/16/14,39.94,40.15,39.51,40.13,13614800,39.89
04/17/14,39.96,40.18,39.39,40.08,14644100,39.84
04/21/14,40.24,40.44,40.06,40.24,8593600,40
04/22/14,40.27,40.62,40.14,40.46,10396100,40.22
04/23/14,40.28,40.34,39.75,39.79,10048500,39.55
04/24/14,39.76,39.86,39.02,39.75,13966400,39.51
04/25/14,39.81,39.81,39.23,39.45,11647800,39.21
04/28/14,39.75,40.28,39.65,40.13,20141200,39.89
04/29/14,40.25,40.61,40.07,40.11,14996300,39.87
04/30/14,40.09,40.93,40.02,40.88,16480900,40.64
05/01/14,40.72,41.19,40.64,40.97,13945500,40.73
05/02/14,41.16,41.21,40.81,40.81,10710100,40.57
05/05/14,41.13,41.26,40.77,41.21,13722700,40.96
05/06/14,41,41.29,40.97,41.01,12647500,40.76
05/07/14,41.15,41.28,40.49,41.06,12570400,40.81
05/08/14,41.09,41.26,40.55,40.87,10212900,40.63
05/09/14,40.8,41.26,40.54,41.04,10262400,40.79
05/12/14,41.22,42.14,41.19,41.95,18751400,41.7
05/13/14,42.02,42.09,41.64,41.89,10319200,41.64
05/14/14,41.98,42.02,41.71,41.88,14015200,41.63
05/15/14,41.84,42.17,41.64,41.93,19267000,41.68
05/16/14,41.89,41.97,41.32,41.69,15497400,41.44
05/19/14,41.48,42.2,41.41,42.16,11929700,41.91
05/20/14,42.07,42.1,41.45,41.56,10580200,41.31
05/21/14,41.67,41.79,41.48,41.68,11151700,41.43
05/22/14,41.6,41.94,41.51,41.52,12276200,41.27
05/23/14,41.65,42.23,41.49,42.15,12044200,41.9
05/27/14,42.26,42.35,41.73,41.91,12680200,41.66
05/28/14,41.99,42.19,41.56,41.57,11308800,41.32
05/29/14,41.79,42.21,41.61,42.2,9629500,41.95
05/30/14,42.08,42.2,41.85,42.02,13496500,41.77
06/02/14,41.96,42.02,41.61,41.97,11284900,41.72
06/03/14,41.84,41.92,41.58,41.81,10968400,41.56
06/04/14,41.79,41.79,41.33,41.7,8936300,41.45
06/05/14,41.85,42.33,41.74,42.1,10647800,41.85
06/06/14,42.29,42.63,42.25,42.63,11447800,42.38
06/09/14,42.65,42.81,42.41,42.7,10307400,42.44
06/10/14,42.57,42.88,42.49,42.66,13457200,42.4
06/11/14,42.45,42.88,42.36,42.56,9622700,42.31
06/12/14,42.53,42.62,41.84,42,11060900,41.75
06/13/14,42.05,42.18,41.71,42.14,10324600,41.89
06/16/14,42,42.23,41.77,42.15,8150200,41.9
06/17/14,42.19,42.7,41.98,42.32,12792400,42.07
06/18/14,42.38,42.86,42.3,42.81,10307000,42.55
06/19/14,42.93,43.19,42.43,42.51,27255800,42.26
06/20/14,40.26,40.94,39.93,40.82,65103700,40.58
06/23/14,40.93,41.33,40.75,41.1,16956600,40.85
06/24/14,40.99,41.39,40.66,40.76,16459200,40.52
06/25/14,40.73,40.84,40.39,40.46,13889400,40.22
06/26/14,40.55,40.55,39.98,40.15,16642500,39.91
06/27/14,40.03,40.66,40.03,40.53,15320500,40.29
06/30/14,40.6,40.82,40.49,40.53,14098200,40.29
07/01/14,40.41,40.91,40.41,40.77,13147000,40.53
07/02/14,40.93,41.2,40.77,40.95,13400200,40.71
07/03/14,40.98,41.36,40.97,41.34,7863600,41.09
07/07/14,41.01,41.11,40.75,40.89,11959400,40.76
07/08/14,40.69,40.85,40.38,40.56,12350600,40.43
07/09/14,40.61,40.72,39.99,40.26,14711600,40.14
07/10/14,39.89,40.52,39.89,40.32,9566900,40.2
07/11/14,40.49,40.49,39.98,40.13,11942300,40.01
07/14/14,40.43,40.68,40.26,40.49,13586800,40.37
07/15/14,40.38,40.81,40.36,40.54,11813800,40.41
07/16/14,40.81,40.88,40.13,40.26,14722600,40.14
07/17/14,40.21,40.71,39.86,39.91,24447800,39.79
07/18/14,39.98,40.16,39.89,40,19123500,39.88
07/21/14,40.03,40.24,39.92,40.01,15864700,39.89
07/22/14,40.14,40.7,39.96,40.43,13728100,40.31
07/23/14,40.43,40.65,40.24,40.31,9191700,40.19
07/24/14,40.35,40.67,40.35,40.47,10797700,40.35
07/25/14,40.27,40.64,40.27,40.33,7483800,40.21
07/28/14,40.31,40.82,40.23,40.55,9658200,40.42
07/29/14,40.71,40.92,40.5,40.63,9450400,40.5
