Date,Open,High,Low,Close,Volume,Adj Close
4/1/14,"16,458.05","16,622.52","16,423.12","16,532.61","3,336,190,000","16,532.61"
4/2/14,"16,532.80","16,637.32","16,456.73","16,573.00","3,131,660,000","16,573.00"
4/3/14,"16,572.36","16,656.65","16,486.76","16,572.55","3,055,600,000","16,572.55"
4/4/14,"16,576.02","16,696.82","16,371.89","16,412.71","3,583,750,000","16,412.71"
4/7/14,"16,414.15","16,488.14","16,171.08","16,245.87","3,801,540,000","16,245.87"
4/8/14,"16,245.16","16,355.32","16,117.91","16,256.14","3,721,450,000","16,256.14"
4/9/14,"16,256.37","16,470.44","16,217.84","16,437.18","3,308,650,000","16,437.18"
4/10/14,"16,437.24","16,523.87","16,131.76","16,170.22","3,758,780,000","16,170.22"
4/11/14,"16,168.87","16,196.23","15,961.79","16,026.75","3,743,460,000","16,026.75"
4/14/14,"16,028.29","16,238.84","16,008.33","16,173.24","3,111,540,000","16,173.24"
4/15/14,"16,173.49","16,325.02","16,041.78","16,262.56","3,736,440,000","16,262.56"
4/16/14,"16,266.23","16,478.22","16,260.99","16,424.85","3,155,080,000","16,424.85"
4/17/14,"16,424.14","16,533.67","16,284.85","16,408.54","3,341,430,000","16,408.54"
4/21/14,"16,408.92","16,511.77","16,336.71","16,449.25","2,642,500,000","16,449.25"
4/22/14,"16,449.38","16,605.37","16,408.78","16,514.37","3,215,440,000","16,514.37"
4/23/14,"16,513.73","16,598.82","16,411.39","16,501.65","3,085,720,000","16,501.65"
4/24/14,"16,503.39","16,611.89","16,397.52","16,501.65","3,191,830,000","16,501.65"
4/25/14,"16,503.26","16,504.99","16,290.40","16,361.46","3,213,020,000","16,361.46"
4/28/14,"16,363.20","16,573.14","16,267.81","16,448.74","4,034,680,000","16,448.74"
4/29/14,"16,451.18","16,618.92","16,416.60","16,535.37","3,647,820,000","16,535.37"
4/30/14,"16,534.86","16,639.69","16,460.01","16,580.84","3,779,230,000","16,580.84"
5/1/14,"16,580.26","16,666.47","16,459.88","16,558.87","3,416,740,000","16,558.87"
5/2/14,"16,562.34","16,665.73","16,448.03","16,512.89","3,159,560,000","16,512.89"
5/5/14,"16,509.75","16,577.82","16,350.55","16,530.55","2,733,730,000","16,530.55"
5/6/14,"16,529.85","16,529.85","16,371.13","16,401.02","3,327,260,000","16,401.02"
5/7/14,"16,401.66","16,588.77","16,324.25","16,518.54","3,632,950,000","16,518.54"
5/8/14,"16,518.16","16,660.07","16,450.92","16,550.97","3,393,420,000","16,550.97"
5/9/14,"16,551.23","16,629.64","16,453.49","16,583.34","3,025,020,000","16,583.34"
5/12/14,"16,584.82","16,753.56","16,584.82","16,695.47","3,005,740,000","16,695.47"
5/13/14,"16,695.92","16,796.25","16,639.02","16,715.44","2,915,680,000","16,715.44"
5/14/14,"16,716.08","16,749.74","16,571.04","16,613.97","2,822,060,000","16,613.97"
5/15/14,"16,613.52","16,616.13","16,366.81","16,446.81","3,552,640,000","16,446.81"
5/16/14,"16,447.32","16,546.48","16,362.05","16,491.31","3,173,650,000","16,491.31"
5/19/14,"16,490.35","16,563.20","16,396.59","16,511.86","2,664,250,000","16,511.86"
5/20/14,"16,511.22","16,545.05","16,319.13","16,374.31","3,007,700,000","16,374.31"
5/21/14,"16,376.17","16,574.35","16,376.17","16,533.06","2,777,140,000","16,533.06"
5/22/14,"16,532.74","16,607.52","16,463.64","16,543.08","2,759,800,000","16,543.08"
5/23/14,"16,544.49","16,649.76","16,517.81","16,606.27","2,396,280,000","16,606.27"
5/27/14,"16,607.42","16,744.11","16,585.99","16,675.50","2,911,020,000","16,675.50"
5/28/14,"16,674.98","16,720.74","16,584.63","16,633.18","2,976,450,000","16,633.18"
5/29/14,"16,637.74","16,729.67","16,585.88","16,698.74","2,709,050,000","16,698.74"
5/30/14,"16,697.33","16,760.54","16,603.99","16,717.17","3,263,490,000","16,717.17"
6/2/14,"16,716.85","16,808.05","16,648.71","16,743.63","2,509,020,000","16,743.63"
6/3/14,"16,736.70","16,793.06","16,632.21","16,722.34","2,867,180,000","16,722.34"
6/4/14,"16,720.00","16,785.28","16,637.22","16,737.53","2,793,920,000","16,737.53"
6/5/14,"16,739.14","16,880.85","16,687.75","16,836.11","3,113,270,000","16,836.11"
6/6/14,"16,839.64","16,976.27","16,814.62","16,924.28","2,864,300,000","16,924.28"
6/9/14,"16,926.08","17,017.14","16,859.42","16,943.10","2,812,180,000","16,943.10"
6/10/14,"16,940.40","16,998.49","16,850.85","16,945.92","2,702,360,000","16,945.92"
6/11/14,"16,943.16","16,943.16","16,790.51","16,843.88","2,710,620,000","16,843.88"
6/12/14,"16,840.48","16,877.85","16,683.54","16,734.19","3,040,480,000","16,734.19"
6/13/14,"16,734.64","16,832.87","16,678.15","16,775.74","2,598,230,000","16,775.74"
6/16/14,"16,781.01","16,837.92","16,675.18","16,781.01","2,926,130,000","16,781.01"
6/17/14,"16,779.21","16,866.02","16,691.70","16,808.49","2,971,260,000","16,808.49"
6/18/14,"16,806.12","16,928.10","16,720.06","16,906.62","3,065,220,000","16,906.62"
6/19/14,"16,909.90","16,923.43","16,858.88","16,921.46","2,952,150,000","16,921.46"
6/20/14,"16,920.62","17,049.63","16,862.93","16,947.08","4,336,240,000","16,947.08"
6/23/14,"16,946.50","17,002.69","16,848.33","16,937.26","2,717,630,000","16,937.26"
6/24/14,"16,934.62","16,999.32","16,786.73","16,818.13","3,089,700,000","16,818.13"
6/25/14,"16,817.68","16,936.61","16,734.96","16,867.51","3,106,710,000","16,867.51"
6/26/14,"16,866.81","16,904.55","16,719.42","16,846.13","2,778,840,000","16,846.13"
6/27/14,"16,846.90","16,917.98","16,732.56","16,851.84","4,290,590,000","16,851.84"
6/30/14,"16,852.49","16,910.48","16,742.34","16,826.60","3,037,350,000","16,826.60"
7/1/14,"16,828.53","17,031.34","16,828.20","16,956.07","3,188,240,000","16,956.07"
7/2/14,"16,949.71","17,037.92","16,889.73","16,976.24","2,851,480,000","16,976.24"
7/3/14,"16,979.00","17,112.53","16,966.86","17,068.26","1,998,090,000","17,068.26"
7/7/14,"17,063.83","17,086.21","16,940.06","17,024.21","2,681,260,000","17,024.21"
7/8/14,"17,022.09","17,022.09","16,828.85","16,906.62","3,302,430,000","16,906.62"
7/9/14,"16,916.83","17,037.15","16,867.99","16,985.61","2,858,800,000","16,985.61"
7/10/14,"16,980.35","16,980.35","16,750.88","16,915.07","3,165,690,000","16,915.07"
7/11/14,"16,918.31","16,997.20","16,817.52","16,943.81","2,684,630,000","16,943.81"
7/14/14,"16,950.93","17,142.89","16,950.93","17,055.42","2,744,920,000","17,055.42"
