Date,Open,High,Low,Close,Volume,Adj Close
04/01/14,"1,873.96","1,885.84","1,873.96",1885.52,"3,336,190,000","1,885.52"
04/02/14,"1,886.61","1,893.17","1,883.79",1890.9,"3,131,660,000","1,890.90"
04/03/14,"1,891.43","1,893.80","1,882.65",1888.77,"3,055,600,000","1,888.77"
04/04/14,"1,890.25","1,897.28","1,863.26",1865.09,"3,583,750,000","1,865.09"
04/07/14,"1,863.92","1,864.04","1,841.48",1845.04,"3,801,540,000","1,845.04"
04/08/14,"1,845.48","1,854.95","1,837.49",1851.96,"3,721,450,000","1,851.96"
04/09/14,"1,852.64","1,872.43","1,852.38",1872.18,"3,308,650,000","1,872.18"
04/10/14,"1,872.28","1,872.53","1,830.87",1833.08,"3,758,780,000","1,833.08"
04/11/14,"1,830.65","1,835.07","1,814.36",1815.69,"3,743,460,000","1,815.69"
04/14/14,"1,818.18","1,834.19","1,815.80",1830.61,"3,111,540,000","1,830.61"
04/15/14,"1,831.45","1,844.02","1,816.29",1842.98,"3,736,440,000","1,842.98"
04/16/14,"1,846.01","1,862.31","1,846.01",1862.31,"3,155,080,000","1,862.31"
04/17/14,"1,861.73","1,869.63","1,856.72",1864.85,"3,341,430,000","1,864.85"
04/21/14,"1,865.79","1,871.89","1,863.18",1871.89,"2,642,500,000","1,871.89"
04/22/14,"1,872.57","1,884.89","1,872.57",1879.55,"3,215,440,000","1,879.55"
04/23/14,"1,879.32","1,879.75","1,873.91",1875.39,"3,085,720,000","1,875.39"
04/24/14,"1,881.97","1,884.06","1,870.24",1878.61,"3,191,830,000","1,878.61"
04/25/14,"1,877.72","1,877.72","1,859.70",1863.4,"3,213,020,000","1,863.40"
04/28/14,"1,865.00","1,877.01","1,850.61",1869.43,"4,034,680,000","1,869.43"
04/29/14,"1,870.78","1,880.60","1,870.78",1878.33,"3,647,820,000","1,878.33"
04/30/14,"1,877.10","1,885.20","1,872.69",1883.95,"3,779,230,000","1,883.95"
05/01/14,"1,884.39","1,888.59","1,878.04",1883.68,"3,416,740,000","1,883.68"
05/02/14,"1,885.30","1,891.33","1,878.50",1881.14,"3,159,560,000","1,881.14"
05/05/14,"1,879.45","1,885.51","1,866.77",1884.66,"2,733,730,000","1,884.66"
05/06/14,"1,883.69","1,883.69","1,867.72",1867.72,"3,327,260,000","1,867.72"
