Date,Open,High,Low,Close,Volume,Adj Close
4/1/14,19996.01,20171.3,19996.01,20170.24,0,20170.24
4/2/14,20170.24,20242.36,20159.3,20222.37,0,20222.37
4/3/14,20222.37,20248.51,20096.15,20162.15,0,20162.15
4/4/14,20162.15,20257.19,19850.68,19877.6,0,19877.6
4/7/14,19877.6,19877.6,19584.99,19637.27,0,19637.27
4/8/14,19637.27,19765.06,19558.99,19733.34,0,19733.34
4/9/14,19733.34,19964.47,19733.34,19962.05,0,19962.05
4/10/14,19962.05,19963.46,19491.95,19524.45,0,19524.45
4/11/14,19524.45,19543.41,19298.59,19321.15,0,19321.15
4/14/14,19321.15,19519.25,19300.54,19454.4,0,19454.4
4/15/14,19454.42,19590.53,19268.85,19572.13,0,19572.13
4/16/14,19572.13,19792.32,19572.13,19792.3,0,19792.3
4/17/14,19792.3,19881.38,19731.99,19832.16,0,19832.16
4/21/14,19832.16,19908.56,19802.98,19908.49,0,19908.49
4/22/14,19908.49,20071.93,19908.49,20020.55,0,20020.55
4/23/14,20020.55,20023,19945.34,19955.15,0,19955.15
4/24/14,19955.15,20045.67,19872.04,19970.12,0,19970.12
4/25/14,19970.12,19970.12,19726.59,19763.25,0,19763.25
4/28/14,19763.25,19895.34,19580,19784.7,0,19784.7
4/29/14,19784.7,19916.43,19784.7,19892.14,0,19892.14
4/30/14,19892.14,19964.8,19810.65,19959.84,0,19959.84
5/1/14,19959.84,20034.2,19899.06,19976.54,0,19976.54
5/2/14,19976.54,20068.67,19939.84,19965.98,0,19965.98
5/5/14,19965.98,20005.31,19802.08,19996.66,0,19996.66
5/6/14,19996.66,19996.66,19796.77,19796.97,0,19796.97
5/7/14,19796.97,19890.49,19679.16,19884.23,0,19884.23
5/8/14,19884.23,19997.95,19769.42,19823.81,0,19823.81
5/9/14,19823.81,19867.22,19733.67,19867.21,0,19867.21
5/12/14,19867.21,20104.92,19867.21,20097.8,0,20097.8
5/13/14,20097.8,20154.17,20071,20079.53,0,20079.53
5/14/14,20079.53,20079.53,19939.93,19966.91,0,19966.91
5/15/14,19966.91,19966.91,19673.18,19789.38,0,19789.38
5/16/14,19789.38,19865.93,19716.53,19863.96,0,19863.96
5/19/14,19863.96,19962.53,19807.44,19954.38,0,19954.38
5/20/14,19954.38,19954.38,19753.67,19805.74,0,19805.74
5/21/14,19805.74,19966.47,19805.74,19957.35,0,19957.35
5/22/14,19957.35,20066.9,19938.29,20024.77,0,20024.77
5/23/14,20024.77,20130.46,20024.77,20123.5,0,20123.5
5/27/14,20123.5,20261.57,20123.5,20258.82,0,20258.82
5/28/14,20258.82,20275.03,20192.05,20229.91,0,20229.91
5/29/14,20229.91,20333.04,20228.68,20332.99,0,20332.99
5/30/14,20332.99,20353.95,20279.94,20348.35,0,20348.35
6/2/14,20348.35,20371.65,20253.66,20361.03,0,20361.03
6/3/14,20361.03,20361.03,20281.96,20347.55,0,20347.55
6/4/14,20347.55,20407.35,20282.2,20399.69,0,20399.69
6/5/14,20399.69,20569.04,20347.06,20557.52,0,20557.52
6/6/14,20557.52,20665.84,20557.52,20661.86,0,20661.86
6/9/14,20661.86,20748.5,20648.14,20697.6,0,20697.6
6/10/14,20697.6,20697.6,20616.8,20686.14,0,20686.14
6/11/14,20686.14,20686.14,20566.34,20612.23,0,20612.23
6/12/14,20612.23,20612.23,20422.53,20469.86,0,20469.86
6/13/14,20469.86,20545.86,20429.54,20532.98,0,20532.98
6/16/14,20532.98,20582.57,20473.9,20555.81,0,20555.81
6/17/14,20555.81,20644.07,20511.42,20621.47,0,20621.47
6/18/14,20621.47,20775.39,20587.37,20767.84,0,20767.84
6/19/14,20767.84,20806.86,20717.8,20796.49,0,20796.49
6/20/14,20796.49,20838.74,20796.17,20834.76,0,20834.76
6/23/14,20834.76,20851.97,20800.65,20837.52,0,20837.52
6/24/14,20837.52,20909.48,20678.51,20743.93,0,20743.93
6/25/14,20710.92,20820.56,20663.88,20810.02,0,20810.02
6/26/14,20810.02,20812.46,20657.98,20789.38,0,20789.38
6/27/14,20789.38,20852.77,20755.47,20846,0,20846
6/30/14,20846,20888.78,20824.9,20862.74,0,20862.74
7/1/14,20862.84,21070.57,20862.84,21008.86,0,21008.86
7/2/14,21008.86,21034.93,20979.69,20997.11,0,20997.11
7/3/14,20997.11,21108.12,20997.11,21107.54,0,21107.54
7/7/14,21107.54,21107.54,20957.39,20979.36,0,20979.36
7/8/14,20979.36,20979.36,20753.38,20808.69,0,20808.69
7/9/14,20808.69,20916.15,20808.69,20903.7,0,20903.7
7/10/14,20903.7,20903.7,20666.93,20805.67,0,20805.67
7/11/14,20805.67,20841.38,20746.93,20828.86,0,20828.86
7/14/14,20828.87,20963.55,20828.87,20927.26,0,20927.26
7/15/14,20927.26,20980.31,20780.47,20865.85,0,20865.85
7/16/14,20865.85,20979.19,20865.85,20934.2,0,20934.2
7/17/14,20934.2,20938.2,20659.03,20687.69,0,20687.69
7/18/14,20687.69,20926.92,20687.69,20912.56,0,20912.56
7/21/14,20912.56,20912.56,20775.02,20861.57,0,20861.57
7/22/14,20861.57,21005.43,20861.57,20972.8,0,20972.8
7/23/14,20972.8,21037.87,20964.48,21010.6,0,21010.6
7/24/14,21010.6,21068.04,20996.42,21021.06,0,21021.06
7/25/14,21021.06,21021.06,20867,20907.17,0,20907.17
7/28/14,20907.17,20925.65,20780,20895.05,0,20895.05
7/29/14,20895.05,20964.18,20816.36,20816.36,0,20816.36
7/30/14,20816.36,20919.56,20752.64,20830.54,0,20830.54
7/31/14,20830.54,20830.54,20410.74,20410.81,0,20410.81
8/1/14,20410.81,20477.87,20247.03,20346.01,0,20346.01
8/4/14,20345.99,20538.23,20302.45,20501.2,0,20501.2
8/5/14,20501.2,20501.2,20247.48,20320.47,0,20320.47
8/6/14,20320.47,20404.55,20218.44,20319.41,0,20319.41
8/7/14,20319.41,20407.09,20164.16,20216.38,0,20216.38
8/8/14,20216.38,20444.02,20206.18,20436.16,0,20436.16
8/11/14,20436.16,20611.97,20436.16,20527.13,0,20527.13
8/12/14,20527.13,20552.45,20418.16,20476.17,0,20476.17
8/13/14,20476.17,20633.86,20476.17,20617.51,0,20617.51
8/14/14,20617.51,20704.41,20617.51,20704.33,0,20704.33
8/15/14,20704.33,20802.27,20563.93,20704.88,0,20704.88
8/18/14,20704.88,20892.79,20704.88,20892.62,0,20892.62
8/19/14,20892.62,20998.35,20892.62,20989.23,0,20989.23
8/20/14,20989.23,21051.95,20941.54,21031.55,0,21031.55
8/21/14,21031.55,21106.56,21014.33,21084.51,0,21084.51
8/22/14,21084.51,21093.9,21006.06,21054.86,0,21054.86
8/25/14,21054.86,21196.34,21054.86,21153.17,0,21153.17
8/26/14,21153.17,21236.75,21153.17,21193.54,0,21193.54
8/27/14,21193.54,21218.08,21153.89,21192.48,0,21192.48
8/28/14,21192.48,21192.48,21084.04,21150.55,0,21150.55
8/29/14,21150.55,21234.37,21132.02,21233.83,0,21233.83
9/2/14,21233.89,21277.51,21162.96,21244.43,0,21244.43
9/3/14,21244.43,21318,21187.72,21213.18,0,21213.18
9/4/14,21213.18,21319.71,21119.76,21169.98,0,21169.98
9/5/14,21169.98,21270.32,21088.51,21270.32,0,21270.32
9/8/14,21270.32,21276.68,21153.49,21221.96,0,21221.96
9/9/14,21221.96,21221.96,21038.2,21075.32,0,21075.32
9/10/14,21075.32,21158.58,21017.28,21151.84,0,21151.84
9/11/14,21151.84,21183.32,21054.91,21182.54,0,21182.54
9/12/14,21182.54,21182.54,20986.39,21041.43,0,21041.43
9/15/14,21041.43,21041.43,20933.15,20978.92,0,20978.92
9/16/14,20978.92,21160.95,20925.6,21128.77,0,21128.77
9/17/14,21128.77,21258.36,21076.02,21160.72,0,21160.72
9/18/14,21160.72,21263.51,21160.72,21254.01,0,21254.01
9/19/14,21254.01,21329.33,21172.14,21219.88,0,21219.88
9/22/14,21219.88,21219.88,20976.86,21008.37,0,21008.37
9/23/14,21008.37,21024.57,20877,20877,0,20877
9/24/14,20877,21055.08,20833.54,21038.17,0,21038.17
9/25/14,21038.17,21038.17,20707.31,20707.32,0,20707.32
9/26/14,20707.32,20916.2,20707.32,20885.67,0,20885.67
9/29/14,20885.67,20885.67,20688.46,20842.01,0,20842.01
9/30/14,20842.01,20898.49,20732.57,20760.46,0,20760.46
10/1/14,20760.46,20760.46,20428.42,20476.54,0,20476.54
10/2/14,20476.54,20560.74,20259.04,20500.46,0,20500.46
10/3/14,20500.46,20750.27,20500.46,20715.53,0,20715.53
10/6/14,20715.53,20815.02,20607.74,20665.04,0,20665.04
10/7/14,20665.04,20665.04,20349.11,20350.96,0,20350.96
10/8/14,20350.96,20688.09,20217.09,20677.58,0,20677.58
10/9/14,20677.58,20677.58,20233.37,20234.9,0,20234.9
10/10/14,20234.9,20318.53,19975.01,19975.65,0,19975.65
10/13/14,19975.65,20046.58,19644.89,19652.02,0,19652.02
10/14/14,19652.02,19934.88,19639.47,19707.63,0,19707.63
10/15/14,19707.63,19707.63,19160.13,19617.56,0,19617.56
10/16/14,19617.56,19812.3,19360.41,19682.83,0,19682.83
10/17/14,19682.83,20028.74,19682.83,19900.42,0,19900.42
10/20/14,19900.42,20095.24,19860.42,20089.39,0,20089.39
10/21/14,20089.4,20493.78,20089.4,20483.44,0,20483.44
10/22/14,20483.44,20566.08,20304.68,20307.95,0,20307.95
10/23/14,20307.95,20680.27,20307.95,20563.99,0,20563.99
10/24/14,20563.99,20696.53,20511.46,20690.13,0,20690.13
10/27/14,20690.13,20690.13,20528.66,20654.16,0,20654.16
10/28/14,20654.16,20928.81,20654.16,20928.81,0,20928.81
10/29/14,20928.81,20985.29,20745.55,20885.02,0,20885.02
10/30/14,20885.02,21056.21,20798.96,21005.5,0,21005.5
10/31/14,21005.5,21257.18,21005.5,21256.74,0,21256.74
